id,area,area_sqft,lot_size_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price
22730,NayaNazimabad,915,2137,1,1,2,0,80,9.45,8.43,,218996
22731,PECHS,2641,3934,5,4,3,2,64,16.06,4.81,6.0,462676
22732,NorthNazimabad,1083,2309,2,1,3,2,10,7.14,,6.52,237206
22733,PECHS,2265,5010,3,2,3,1,11,17.2,5.18,4.7,447425
22734,PECHS,1871,2885,3,2,2,4,44,6.28,5.53,,442299
22735,NayaNazimabad,1686,4092,4,2,2,0,2,1.88,4.95,3.74,419112
22736,PECHS,1638,5696,2,2,2,1,15,1.78,6.64,5.97,333628
22737,PECHS,1417,3674,2,1,1,1,80,3.03,6.48,6.23,254326
22738,PECHS,2577,8851,3,2,2,1,53,5.5,10.0,4.85,590694
22739,FB Area,1808,3097,3,2,3,0,11,4.33,,1.0,325689
22740,FB Area,1038,1773,1,1,2,2,5,9.95,8.13,4.07,278861
22741,FB Area,1570,5414,3,3,3,1,13,31.05,4.94,4.77,272988
22742,PECHS,1877,5571,3,2,3,1,18,3.25,9.81,,499305
22743,PECHS,2339,3504,4,4,1,0,1,10.19,7.91,9.59,592565
22744,PECHS,1437,2530,2,1,3,0,4,20.24,8.79,2.23,379595
22745,NorthNazimabad,1477,2556,1,1,2,2,4,1.43,6.4,1.78,396070
22746,NayaNazimabad,1814,3455,3,3,3,2,26,11.06,,,510383
22747,PECHS,2324,4737,5,4,1,1,16,5.03,10.0,4.65,561902
22748,FB Area,979,2625,1,1,2,0,19,4.6,9.72,10.0,153335
22749,Clifton,2103,4502,3,2,1,2,5,8.45,,7.34,487993
22750,FB Area,1522,4606,3,1,3,1,21,1.96,6.56,5.96,309476
22751,FB Area,1605,1956,3,2,1,0,5,8.65,,2.97,309580
22752,FB Area,3001,7684,5,4,3,1,5,3.68,,4.61,582699
22753,Clifton,1682,5287,3,3,2,1,9,16.88,3.55,8.85,381123
22754,PECHS,2253,6876,3,2,2,0,4,,8.02,8.0,433143
22755,NorthNazimabad,2231,3556,5,4,3,3,80,27.78,10.0,6.64,638283
22756,PECHS,1092,2192,2,1,3,0,16,14.28,5.99,3.05,240259
22757,PECHS,693,1690,2,2,3,0,19,18.94,7.41,3.52,143317
22758,PECHS,2293,6246,4,2,2,1,66,27.59,6.79,5.53,506065
22759,PECHS,1150,2187,1,1,3,0,40,1.51,9.71,5.6,262646
22760,Clifton,801,1254,2,1,1,1,38,12.64,9.66,5.09,205650
22761,FB Area,2416,3769,5,4,2,0,9,5.18,,6.27,495945
22762,PECHS,1188,3081,3,2,1,0,1,22.33,9.3,6.51,269857
22763,NorthNazimabad,1336,2444,1,1,3,2,2,2.19,4.95,4.74,273375
22764,NorthNazimabad,2985,8563,5,4,1,3,15,14.05,8.9,6.15,848774
22765,NorthNazimabad,804,2369,1,1,1,1,42,4.3,,7.65,197025
22766,PECHS,1046,1479,1,1,3,3,1,0.89,6.32,5.36,247986
22767,PECHS,1524,3348,3,2,2,0,4,8.4,,7.41,409540
22768,PECHS,1656,2306,4,4,2,2,3,29.03,5.49,6.22,418945
22769,PECHS,1264,3557,2,1,3,1,33,1.23,4.0,4.14,255975
22770,PECHS,1105,1479,1,1,1,0,27,9.51,6.9,5.2,222149
22771,PECHS,2706,3400,5,4,1,2,46,4.66,4.14,8.05,587393
22772,NorthNazimabad,1958,4732,3,3,1,2,9,6.19,,,516087
22773,PECHS,2151,5676,3,2,2,0,7,7.6,6.51,5.39,424734
22774,NorthNazimabad,1718,5024,3,2,1,1,20,12.15,,,482184
22775,NorthNazimabad,1974,5022,3,2,3,1,11,5.74,,3.14,523308
22776,PECHS,2360,6963,4,3,1,3,47,9.79,,,555988
22777,Clifton,1202,3442,3,3,1,1,10,4.47,7.42,6.24,379647
22778,PECHS,1959,3532,4,3,1,0,46,7.58,4.85,4.63,421245
22779,NorthNazimabad,2218,3505,5,3,2,2,27,3.41,,7.99,564658
22780,PECHS,2727,5083,4,2,1,0,11,4.16,,4.94,524343
22781,FB Area,2969,5059,4,3,3,1,7,2.87,,7.66,480302
22782,PECHS,1842,3293,2,2,2,0,13,9.0,7.78,7.67,360499
22783,NorthNazimabad,2483,8200,5,4,3,0,61,1.0,8.7,7.06,629251
22784,NorthNazimabad,400,562,2,1,1,1,46,3.65,4.2,4.2,138874
22785,NorthNazimabad,2731,6746,5,5,2,0,8,2.1,5.67,7.38,805276
22786,NayaNazimabad,1364,2740,2,2,1,4,0,9.5,8.32,5.65,436202
22787,PECHS,1655,2971,4,4,1,1,23,6.62,,7.53,355460
22788,NorthNazimabad,2065,6877,3,3,2,0,30,15.12,5.17,5.25,432414
22789,NayaNazimabad,1708,4689,3,3,1,3,11,2.16,,8.62,413557
22790,PECHS,1918,3392,4,3,3,1,7,15.88,2.77,2.34,469622
22791,NayaNazimabad,2753,7980,5,5,1,0,13,3.71,5.63,4.42,741811
22792,NorthNazimabad,1569,4492,3,3,3,0,43,22.63,8.04,4.66,431903
22793,NayaNazimabad,1148,2496,3,2,1,1,17,3.21,,6.42,294617
22794,Clifton,2888,6480,5,4,2,0,27,4.39,,1.47,823840
22795,FB Area,2116,7107,3,3,2,1,31,16.7,6.15,8.44,317245
22796,Clifton,2953,4123,5,5,2,1,44,4.03,1.71,2.08,705879
22797,PECHS,2318,3441,3,2,1,2,38,3.34,4.82,8.01,482234
22798,NorthNazimabad,1006,2550,1,1,1,2,5,7.12,,4.29,292262
22799,PECHS,2187,6274,4,3,3,0,53,10.8,5.57,6.42,418713
22800,NorthNazimabad,1210,3131,2,1,2,2,2,3.11,,5.76,331157
22801,FB Area,1804,4162,4,4,1,4,3,6.98,5.81,3.92,396307
22802,FB Area,1755,4642,3,2,1,1,37,0.73,4.37,3.38,295509
22803,PECHS,829,1840,1,1,2,0,6,5.85,,4.05,183882
22804,NorthNazimabad,1312,3815,3,1,2,0,73,11.87,,1.0,322703
22805,PECHS,3123,10857,6,6,2,0,0,21.23,7.0,4.1,786503
22806,NorthNazimabad,1943,5295,3,2,1,1,13,7.46,6.15,4.29,478515
22807,FB Area,1695,3802,4,3,3,0,9,31.76,7.75,5.7,317535
22808,NorthNazimabad,2888,8825,5,3,3,0,80,3.93,7.36,1.0,659243
22809,PECHS,1562,5023,2,1,3,1,18,2.37,4.12,1.65,307785
22810,NayaNazimabad,1745,2447,2,2,1,0,16,,7.77,,400483
22811,FB Area,2394,2897,3,2,3,0,8,,4.76,,326740
22812,PECHS,1560,2910,3,3,3,0,10,0.56,,2.91,395114
22813,NorthNazimabad,1352,3858,2,1,2,3,7,2.1,5.03,6.53,415670
22814,NayaNazimabad,448,1480,1,1,1,0,2,2.91,9.1,6.72,181890
22815,NayaNazimabad,1238,2307,2,2,2,0,31,3.14,8.47,8.49,333585
22816,FB Area,1232,3065,2,1,3,3,39,7.8,,6.82,205673
22817,FB Area,1895,5645,3,3,3,1,14,0.5,,7.89,338197
22818,FB Area,1434,2958,1,1,2,0,2,3.31,8.36,5.8,296184
22819,PECHS,3095,5757,5,4,1,3,14,5.26,6.73,5.98,763754
22820,NorthNazimabad,1165,3023,3,2,2,0,8,9.15,6.78,5.34,301322
22821,FB Area,2640,4978,5,5,2,4,1,2.58,7.72,3.23,559823
22822,NorthNazimabad,1932,5790,4,3,2,2,0,1.37,8.53,1.0,651683
22823,FB Area,2284,4429,5,3,2,0,11,5.6,,8.07,384463
22824,PECHS,2248,4303,4,3,2,1,3,0.61,5.69,2.68,476126
22825,FB Area,469,742,1,1,2,0,10,5.19,,,105946
22826,FB Area,1793,2965,3,2,1,0,3,3.95,8.5,,300150
22827,FB Area,1643,3136,2,1,2,2,20,1.31,7.21,5.73,270170
22828,PECHS,1120,2062,1,1,3,0,14,8.44,7.72,3.68,283766
22829,PECHS,2076,2676,2,3,3,2,35,3.22,6.2,2.28,443632
22830,NorthNazimabad,2830,4133,6,4,3,4,12,2.4,5.88,5.82,738555
22831,NorthNazimabad,400,655,1,1,1,2,59,11.18,5.09,6.07,120268
22832,FB Area,1479,3739,2,1,1,0,20,12.91,8.39,6.23,264609
22833,FB Area,1053,2961,2,1,2,0,28,5.34,4.05,3.94,209344
22834,PECHS,1843,4140,3,2,1,1,14,7.91,6.04,,396638
22835,FB Area,1605,4031,3,2,1,0,64,8.39,,2.31,208851
22836,FB Area,1437,4072,2,1,3,1,14,,,7.83,281370
22837,FB Area,2214,7221,3,2,3,1,2,16.36,8.86,2.89,433414
22838,PECHS,2782,9379,4,2,2,2,9,2.77,4.88,2.8,585253
22839,NorthNazimabad,3397,4459,7,6,1,2,30,10.5,2.54,4.88,998117
22840,NorthNazimabad,1356,4382,2,1,2,0,43,4.12,5.71,5.78,331572
22841,NorthNazimabad,707,1054,2,2,3,2,9,6.27,3.23,4.92,217811
22842,NorthNazimabad,2136,2684,3,2,3,2,29,1.52,8.1,3.89,577885
22843,PECHS,2766,6449,4,4,2,2,4,4.61,5.65,3.72,698876
22844,Clifton,2288,3435,4,3,2,1,35,0.2,7.89,4.94,606836
22845,Clifton,2764,6120,5,4,3,2,31,2.22,9.34,3.54,684171
22846,PECHS,1665,5128,2,1,3,1,3,1.98,6.49,2.35,424835
22847,PECHS,1434,3361,3,2,3,2,25,24.33,8.44,5.1,276726
22848,FB Area,1869,4349,3,2,2,3,7,10.4,7.07,2.5,325705
22849,PECHS,1602,3595,4,3,2,2,59,13.37,4.39,5.51,299171
22850,PECHS,2198,7479,4,3,3,0,22,7.47,6.65,,380362
22851,PECHS,2382,5382,3,2,2,1,41,10.49,10.0,8.99,541533
22852,PECHS,2429,4995,3,2,2,2,1,4.82,8.75,5.39,526278
22853,Clifton,2106,5218,3,2,1,0,35,12.32,8.8,5.43,614631
22854,NayaNazimabad,1947,2631,3,2,1,1,18,3.73,7.36,,415070
22855,NorthNazimabad,2277,3871,5,5,1,0,27,2.9,,2.61,619291
22856,PECHS,622,1623,1,1,1,0,6,1.33,7.15,7.59,186354
22857,Clifton,1926,4256,3,1,2,1,23,0.65,9.03,3.82,500745
22858,NorthNazimabad,1831,5932,3,2,2,1,28,0.2,9.35,4.54,491812
22859,FB Area,1928,2697,4,3,1,1,6,0.2,,5.36,375471
22860,NorthNazimabad,1747,6094,2,1,2,1,5,3.08,5.77,6.19,451775
22861,PECHS,2059,6122,3,2,2,0,21,3.88,9.55,6.26,428573
22862,NorthNazimabad,1455,4222,2,1,2,0,23,5.67,,6.5,346554
22863,PECHS,2478,7051,4,3,2,0,16,19.14,3.98,5.59,512946
22864,PECHS,2084,4815,3,3,1,0,2,13.51,,2.61,450130
22865,NorthNazimabad,1890,5800,2,1,1,2,9,0.94,6.51,7.11,461049
22866,PECHS,1381,3708,3,1,3,3,5,0.71,9.83,6.16,405750
22867,NorthNazimabad,2289,7211,4,4,2,2,8,13.82,7.02,4.61,671467
22868,NayaNazimabad,1924,3349,4,3,1,0,16,2.26,5.53,5.77,553113
22869,Clifton,1347,2621,3,2,2,0,34,2.27,,8.57,423639
22870,NorthNazimabad,1766,5576,3,2,2,2,1,5.8,8.12,5.8,552642
22871,FB Area,2177,5919,4,3,2,1,28,2.33,,,337243
22872,PECHS,2131,6651,5,4,3,1,13,2.92,8.18,6.35,565519
22873,FB Area,2092,3323,4,4,2,2,14,2.83,8.42,5.97,451333
22874,NorthNazimabad,1856,4733,4,4,1,0,4,14.9,5.55,5.34,560554
22875,FB Area,2415,4675,4,3,2,2,30,11.29,,5.77,445137
22876,NayaNazimabad,2543,7689,5,5,1,0,17,5.93,8.02,2.71,674248
22877,NorthNazimabad,2242,5690,3,2,3,1,10,2.92,5.23,7.25,645741
22878,NorthNazimabad,1448,2687,3,2,2,4,5,19.65,6.69,,372835
22879,FB Area,1165,2846,3,2,3,4,26,17.39,3.74,6.16,227300
22880,PECHS,1474,4282,3,3,3,0,72,0.2,,3.08,364388
22881,NorthNazimabad,2972,5762,5,4,1,0,6,22.97,6.36,5.98,779805
22882,FB Area,1969,6138,4,4,1,2,12,2.29,8.01,1.98,392467
22883,FB Area,3076,9963,5,5,2,1,65,27.56,5.99,,498066
22884,PECHS,1728,2908,2,1,2,0,3,12.82,,3.61,430118
22885,NayaNazimabad,1645,4605,4,3,1,0,53,9.72,6.1,3.53,430285
22886,PECHS,1756,3291,3,2,1,2,14,2.3,5.56,3.47,365507
22887,PECHS,1745,3485,3,2,1,1,1,2.32,,,396959
22888,Clifton,1336,2463,2,1,2,0,36,7.37,4.84,5.38,375609
22889,PECHS,1111,1445,1,1,1,0,1,17.16,8.64,4.46,292296
22890,Clifton,2101,6359,3,2,1,1,17,1.89,7.31,,555823
22891,PECHS,2433,7186,3,2,1,2,2,20.58,8.81,3.7,558992
22892,NorthNazimabad,3267,11232,4,4,1,2,7,15.54,,6.31,951467
22893,NorthNazimabad,1540,3995,2,1,3,1,7,2.27,8.1,1.6,463727
22894,PECHS,1588,4760,3,3,1,2,54,2.4,10.0,3.79,387712
22895,PECHS,1337,1917,1,1,2,1,30,17.18,8.81,5.4,340242
22896,FB Area,2475,4442,4,4,2,0,7,4.1,5.47,,442605
22897,PECHS,2289,3665,5,4,1,0,63,2.81,8.8,3.71,529013
22898,Clifton,1274,3488,2,1,1,0,19,1.97,7.68,4.2,354479
22899,PECHS,1259,2551,1,1,2,1,80,6.55,,,205067
22900,PECHS,2372,4009,4,4,2,0,35,5.24,4.9,5.12,520518
22901,PECHS,2030,6857,4,3,3,2,47,5.77,4.34,5.21,390331
22902,PECHS,2255,7621,3,2,1,2,1,4.92,,4.9,539231
22903,FB Area,1270,2321,3,2,3,0,43,22.79,7.15,2.15,247857
22904,PECHS,673,1813,1,1,1,0,0,8.38,4.12,4.93,137586
22905,PECHS,1275,2089,3,3,2,1,7,7.87,7.04,6.99,353987
22906,PECHS,2213,3952,3,3,1,2,11,4.67,7.48,3.72,553686
22907,FB Area,3067,5285,4,3,3,0,23,1.61,,3.16,534354
22908,PECHS,1542,3948,2,1,3,3,20,4.91,4.79,3.79,370828
22909,FB Area,3166,10178,4,3,3,0,23,12.12,7.12,1.0,591081
22910,NorthNazimabad,2298,5196,5,4,2,1,8,0.56,7.53,5.82,738206
22911,FB Area,964,2861,2,1,1,0,4,19.04,,6.74,154932
22912,PECHS,1928,6278,3,2,3,2,80,5.4,6.13,1.93,370319
22913,NorthNazimabad,2318,8033,5,3,3,2,80,4.27,9.8,2.88,633686
22914,FB Area,400,850,1,1,1,0,14,8.23,5.68,5.32,89195
22915,PECHS,2187,3962,3,2,1,1,13,12.27,,1.0,549541
22916,NorthNazimabad,2504,7944,4,3,3,2,18,,7.65,1.0,610411
22917,NorthNazimabad,2039,3112,4,3,3,0,15,1.65,7.41,,503119
22918,Clifton,1763,4157,3,2,3,0,60,0.5,8.99,4.53,428784
22919,PECHS,1696,5282,3,2,2,1,3,1.02,7.22,,345842
22920,PECHS,1661,4363,3,2,3,0,27,11.9,7.96,,384804
22921,NorthNazimabad,1094,1500,3,2,3,1,14,2.59,6.66,8.01,384898
22922,FB Area,1387,4386,2,1,2,0,11,1.48,6.31,5.18,189762
22923,PECHS,1550,4672,4,3,1,0,1,3.99,6.25,2.71,395327
22924,PECHS,1868,2707,4,3,1,0,5,1.76,10.0,4.67,432166
22925,NorthNazimabad,1466,4255,4,3,3,0,6,0.72,8.95,2.77,459231
22926,PECHS,1279,3933,2,1,3,4,28,7.0,9.31,2.23,349940
22927,NorthNazimabad,2256,3052,3,2,3,0,3,0.52,6.42,,490715
22928,NayaNazimabad,2022,3500,3,2,2,3,17,4.31,9.24,3.38,545422
22929,Clifton,1476,1814,3,4,2,1,6,2.91,,7.72,414013
22930,FB Area,2104,5670,4,4,1,1,58,9.17,4.66,,368887
22931,PECHS,1528,1992,2,2,3,0,10,20.4,5.93,3.64,422022
22932,PECHS,1838,2973,4,3,1,1,2,4.72,,2.65,461066
22933,PECHS,2385,3338,4,4,2,2,16,13.37,5.85,8.36,458199
22934,NorthNazimabad,1438,2607,2,1,1,0,43,2.03,6.67,6.31,377246
22935,Clifton,1097,2794,2,1,3,1,13,0.2,,6.45,245468
22936,NorthNazimabad,1713,5822,3,2,3,1,2,5.11,8.89,6.95,416657
22937,PECHS,982,1520,1,1,2,0,20,8.76,6.6,4.0,210693
22938,NorthNazimabad,1634,4270,2,1,1,1,13,11.73,4.95,3.4,399428
22939,NorthNazimabad,1632,2358,3,2,2,0,53,1.33,9.62,5.81,425152
22940,PECHS,400,1075,1,1,1,2,8,12.64,5.57,4.16,100740
22941,NayaNazimabad,2118,6247,5,4,2,0,10,7.51,5.05,3.48,619391
22942,NorthNazimabad,1690,2082,4,2,1,3,3,11.19,,6.24,490041
22943,PECHS,2509,4366,4,3,3,1,20,3.38,8.27,1.19,578248
22944,Clifton,1929,3673,4,2,2,2,6,3.81,8.32,5.54,538258
22945,PECHS,2241,5396,4,3,3,1,78,1.48,4.36,5.06,411583
22946,PECHS,2514,4329,4,3,1,3,18,6.81,9.05,1.85,631960
22947,PECHS,1721,4033,5,4,3,0,6,8.69,,3.16,523718
22948,PECHS,1800,3050,5,4,2,0,4,24.64,7.92,2.85,459903
22949,PECHS,856,1687,2,1,2,0,4,6.35,,,215571
22950,NorthNazimabad,2544,8170,4,3,1,0,23,,8.3,3.81,713224
22951,NorthNazimabad,1713,4922,3,1,1,1,0,4.8,6.48,3.32,473306
22952,FB Area,1197,2273,2,1,3,0,50,3.23,5.26,6.47,218220
22953,NorthNazimabad,2244,4984,4,3,3,3,32,6.33,9.53,7.13,636236
22954,PECHS,492,941,1,1,3,1,3,8.91,5.32,4.15,188937
22955,PECHS,1542,4105,2,1,1,1,41,3.73,8.48,5.98,363092
22956,PECHS,2345,3869,5,4,2,1,21,5.27,6.47,3.36,527724
22957,PECHS,1537,4846,2,1,2,1,19,3.12,,,332415
22958,PECHS,1369,3574,4,3,2,0,5,1.93,3.19,5.74,278273
22959,NayaNazimabad,1550,5076,3,3,2,1,3,3.42,,4.81,438277
22960,FB Area,594,1807,1,1,1,1,49,1.94,6.8,5.68,104706
22961,FB Area,2229,5077,3,3,1,1,5,8.46,5.31,6.3,413138
22962,NayaNazimabad,1726,3144,4,3,3,0,42,5.94,,4.93,357379
22963,PECHS,1637,2590,4,3,2,2,20,1.29,3.67,,417981
22964,Clifton,1639,4379,3,2,1,2,25,0.51,6.93,4.12,552858
22965,Clifton,1808,2368,4,3,3,1,3,2.46,,,521758
22966,PECHS,2192,2989,4,3,3,0,10,6.3,6.5,2.31,492971
22967,FB Area,1769,2764,4,3,2,0,26,15.39,7.8,1.0,330137
22968,FB Area,983,1949,1,1,3,2,0,24.63,,3.53,163214
22969,Clifton,2145,2738,4,3,2,1,12,7.67,8.45,3.81,723364
22970,NayaNazimabad,2099,3953,2,1,1,0,24,12.03,8.94,3.96,449944
22971,NayaNazimabad,1923,4824,2,1,3,0,50,4.47,5.09,6.66,384384
22972,NorthNazimabad,2445,5193,3,2,1,0,12,0.2,,2.15,625065
22973,PECHS,1818,4802,3,3,2,1,10,2.02,5.02,4.92,473570
22974,FB Area,2467,3357,3,2,3,2,15,4.43,6.7,6.74,427916
22975,NorthNazimabad,2644,9227,4,3,1,2,3,10.57,4.59,1.39,787419
22976,NayaNazimabad,2149,2931,3,3,2,0,31,1.38,7.96,6.98,542765
22977,Clifton,1351,1956,2,1,3,1,3,6.0,7.19,7.4,340777
22978,Clifton,1722,4236,2,1,3,2,8,10.67,9.11,4.85,445266
22979,NorthNazimabad,2543,4978,3,2,2,1,1,0.86,7.04,2.41,593105
22980,NorthNazimabad,901,2811,1,1,1,2,1,0.57,6.33,,275160
22981,PECHS,1565,2116,3,3,3,1,34,2.42,10.0,6.85,336458
22982,PECHS,1594,5339,5,5,1,2,2,3.28,4.64,5.84,440965
22983,NorthNazimabad,1281,3507,3,2,1,3,2,,5.59,6.32,365693
22984,PECHS,2324,8133,4,4,1,2,16,47.3,,4.92,620819
22985,FB Area,2026,6356,4,4,3,1,6,7.92,8.6,8.37,305555
22986,PECHS,1373,3084,2,1,1,1,3,,8.59,5.72,346135
22987,NayaNazimabad,2163,7452,4,2,3,3,11,4.16,4.58,,559142
22988,PECHS,1705,4700,3,1,3,0,77,6.22,,7.34,329296
22989,NorthNazimabad,1266,2244,2,2,2,0,73,6.08,4.24,,336347
22990,PECHS,1372,4296,1,1,3,2,14,12.81,8.89,1.0,360250
22991,PECHS,2062,6568,3,2,3,0,43,24.08,8.74,,383746
22992,FB Area,2363,5781,4,4,3,2,5,5.3,5.66,4.7,424345
22993,FB Area,1508,5231,4,3,1,1,60,24.64,4.63,5.46,236175
22994,PECHS,2127,4915,4,3,3,2,3,11.26,7.06,3.03,456739
22995,NorthNazimabad,2749,7528,5,4,2,1,21,0.49,8.42,6.84,773940
22996,Clifton,1045,1586,2,1,2,2,3,7.03,4.87,3.38,327906
22997,PECHS,2013,6434,4,3,3,1,4,20.95,6.85,2.44,424667
22998,NorthNazimabad,2298,6272,4,4,3,1,0,9.64,2.98,4.99,743633
22999,NayaNazimabad,1743,5208,3,2,2,2,6,1.58,,5.51,464736
23000,Clifton,2543,5143,4,3,3,0,75,6.34,5.13,,669037
23001,PECHS,3119,9752,6,6,2,1,14,0.64,3.47,5.19,776508
23002,FB Area,2006,6719,3,3,1,1,18,2.6,4.93,4.43,324658
23003,PECHS,1660,2615,4,4,1,1,45,19.97,9.66,4.93,411412
23004,PECHS,2386,6978,4,3,2,0,46,4.59,6.44,5.31,591677
23005,NorthNazimabad,2305,5813,3,2,2,2,42,13.99,9.92,3.11,594412
23006,NorthNazimabad,400,1203,1,1,3,2,6,6.47,8.44,5.21,75311
23007,PECHS,1798,2481,4,4,3,0,8,,,,490003
23008,FB Area,1563,5432,2,1,3,0,8,8.46,,6.05,340785
23009,NayaNazimabad,2038,6095,3,3,3,2,2,0.96,4.51,,454405
23010,NayaNazimabad,1684,5753,3,3,1,0,32,5.55,9.61,3.76,511002
23011,NorthNazimabad,1749,3326,2,1,2,1,3,1.21,,5.0,421727
23012,NayaNazimabad,1282,3825,1,1,1,2,9,4.14,,3.64,333875
23013,Clifton,2241,5051,5,4,1,0,5,12.48,7.39,4.55,678055
23014,NayaNazimabad,2793,5697,5,4,1,1,28,4.39,7.01,8.13,694650
23015,Clifton,1291,3402,1,1,3,2,2,18.76,6.74,1.5,272568
23016,NorthNazimabad,962,2439,1,1,2,1,31,0.2,4.83,3.96,265930
23017,PECHS,1812,5638,3,2,3,1,3,10.19,7.34,3.2,478132
23018,NorthNazimabad,1783,2564,3,1,2,0,60,3.25,7.24,2.9,460742
23019,PECHS,2503,7079,4,2,2,1,12,8.22,9.67,,585619
23020,NorthNazimabad,1062,1297,1,1,3,0,20,1.01,7.15,7.97,239760
23021,Clifton,1477,3699,3,2,3,0,15,9.54,10.0,6.12,446631
23022,FB Area,511,1705,1,1,2,2,28,11.67,8.43,4.81,122590
23023,PECHS,2625,4476,4,3,1,1,13,15.23,,2.9,434365
23024,PECHS,1950,3076,4,4,3,1,1,14.87,4.79,4.92,504023
23025,PECHS,1522,3768,2,1,2,1,6,2.61,6.2,3.59,314121
23026,FB Area,1007,1393,1,1,3,0,60,4.66,7.15,,147301
23027,NorthNazimabad,1062,3416,1,1,1,0,18,0.63,5.58,6.82,214092
23028,NayaNazimabad,2049,4943,4,4,2,3,6,0.71,6.39,3.94,506499
23029,NorthNazimabad,1136,2778,3,2,2,0,21,4.68,8.06,,403036
23030,PECHS,1862,3628,3,2,1,2,44,,3.91,6.09,454649
23031,NayaNazimabad,3026,7414,5,4,1,0,1,14.76,5.37,4.32,691388
23032,PECHS,1591,5434,2,1,2,3,56,1.42,8.69,5.95,315228
23033,PECHS,1223,2757,2,1,1,0,1,2.48,,4.65,345201
23034,PECHS,2029,5050,4,3,1,0,1,3.03,8.35,5.17,464262
23035,NayaNazimabad,1065,2673,1,1,2,2,6,7.03,4.31,4.23,324621
23036,NorthNazimabad,2832,9386,4,4,2,0,12,19.03,,3.94,672891
23037,Clifton,2642,5025,4,3,3,0,18,1.88,8.15,5.73,655260
23038,PECHS,1701,4378,2,1,2,4,61,9.6,7.34,2.54,401128
23039,NayaNazimabad,1262,2527,1,1,1,0,15,18.16,8.02,4.89,279638
23040,Clifton,1545,4511,3,2,3,2,18,0.2,8.78,5.82,421091
23041,NorthNazimabad,1623,3308,3,2,2,0,53,0.46,6.36,1.0,394531
23042,PECHS,2030,5896,3,2,3,1,8,14.55,,4.05,444973
23043,FB Area,2424,4925,4,3,3,1,16,0.27,,5.02,374880
23044,NorthNazimabad,1178,2806,2,2,1,2,11,2.87,3.87,2.23,376060
23045,FB Area,2407,5202,4,3,1,1,5,18.77,,6.35,532593
23046,PECHS,2171,6420,3,2,1,1,22,0.33,4.93,5.64,520181
23047,PECHS,1495,2585,3,2,1,1,11,13.23,,6.58,424916
23048,FB Area,1148,1577,3,2,3,2,15,1.11,,5.75,212098
23049,PECHS,1870,5186,3,3,3,1,1,4.48,6.54,4.14,369474
23050,Clifton,1164,2697,2,1,2,2,18,20.88,6.35,1.83,287786
23051,NayaNazimabad,2414,3117,4,3,1,2,23,1.75,5.21,2.49,571963
23052,PECHS,1126,3150,2,2,3,1,11,1.07,,7.73,319686
23053,PECHS,2129,5651,3,2,2,0,12,2.07,4.61,5.06,411291
23054,PECHS,1752,2254,3,2,1,0,14,3.78,9.22,6.03,357450
23055,PECHS,1464,4645,3,2,2,2,25,9.67,7.09,10.0,359978
23056,FB Area,1738,4506,3,3,3,0,26,12.39,7.8,5.18,317049
23057,PECHS,2448,4578,5,4,1,0,4,4.99,9.14,6.36,595601
23058,NayaNazimabad,1085,2884,3,2,3,0,14,6.1,,1.0,325559
23059,FB Area,1553,2986,2,1,3,2,10,30.71,6.17,3.06,233007
23060,PECHS,1349,3209,1,1,2,0,38,29.54,7.52,9.35,243054
23061,Clifton,1777,2974,4,4,3,0,40,7.07,10.0,5.78,560135
23062,PECHS,1389,2373,1,1,1,1,2,21.6,4.8,3.98,301368
23063,FB Area,739,1265,1,1,3,3,11,13.87,4.9,3.77,132204
23064,PECHS,1167,3351,1,1,2,2,7,14.62,5.19,8.1,321508
23065,PECHS,2783,7196,5,4,3,0,7,13.64,6.79,4.47,640043
23066,PECHS,1948,5565,3,3,3,0,2,8.66,,4.71,389561
23067,PECHS,1927,4945,4,4,1,0,22,13.09,9.46,4.79,514500
23068,Clifton,1630,5072,3,2,3,0,2,7.9,10.0,5.98,393863
23069,PECHS,1769,3570,4,3,2,1,11,3.73,6.06,5.08,522864
23070,NorthNazimabad,1542,4526,3,3,1,0,31,14.32,,2.33,494796
23071,PECHS,2116,6624,4,3,1,0,33,0.5,6.67,5.64,556720
23072,PECHS,1860,3352,2,1,3,0,5,1.06,7.96,1.0,422073
23073,NorthNazimabad,1097,2451,3,2,2,1,11,4.1,5.94,4.08,364680
23074,PECHS,1952,6361,3,3,1,3,3,25.11,,7.05,444458
23075,FB Area,400,1269,1,1,3,1,18,3.25,5.08,6.44,126984
23076,Clifton,2048,2966,4,3,3,0,45,10.55,4.37,6.54,430673
23077,Clifton,954,2368,2,2,3,1,22,4.36,9.65,1.0,396655
23078,PECHS,1742,4369,2,2,3,0,36,16.29,,6.22,384852
23079,PECHS,1083,2245,1,1,2,1,14,14.84,4.83,6.88,254422
23080,Clifton,1802,4429,2,1,2,1,1,12.42,10.0,4.7,528014
23081,PECHS,2147,3342,4,3,2,2,20,21.96,6.62,6.42,468453
23082,FB Area,2702,7997,4,3,1,0,3,15.09,10.0,3.96,397731
23083,NorthNazimabad,875,1688,1,1,1,1,1,1.04,8.33,3.76,336736
23084,NayaNazimabad,2385,4080,4,3,1,1,25,0.2,8.64,5.18,574803
23085,NorthNazimabad,1879,5786,3,3,2,1,34,1.65,7.76,6.32,475226
